Originals;0.0
LeftEyeBrow;0.0801588774556445
RightyeBrow;0.08191640217956996
LeftEye;0.12346151193836628
RightEye;0.12587938838402238
Nose;0.05018129468910413
Mouth;0.04326501058941166
UpperLip;0.03940275831917908
LowerLip;0.03905599619864959
Nasal;0.05861241265506945
LeftOrbital;0.07240437110418772
RightOrbital;0.07415941064738198
Mental;0.011599511252804926
LeftBuccal;0.017118115475745925
RightBuccal;0.02071817940279237
LeftZygoInfraParo;0.0219546276464437
RightZygoInfraParo;0.02382959842417017
